agenda,dkod,nazev,metodika
19,D19.14,Počet zaměstnanců - pracovních úvazků agendy SPOD,"Úvazky pro agendu SPOD celkem stanovte k 31.12. sledovaného roku včetně poměrné části pracovních úvazků vedoucích a administrativní síly, které rozpočtěte vzhledem k počtu pracovníků na oddělení nebo odboru. Zpravidla půjde o desetinné číslo. Pokud pracovník vykonává i jinou agendu, započítává se pouze příslušným podílem a součet jeho úvazků v těchto agendách musí být roven jedné! Poměrná část úvazku zaměstnanců se týká vždy konkrétní agendy za kterou, jsou vstupní data vyplňována. Součet úvazků v agendách se tak nemusí rovnat počtu zaměstnanců odboru nebo oddělení pokud tato organizační jednotka zajišťuje další agendy nebo úkoly, které nejsou předmětem porovnávání. Započítejte také další zaměstnance pokud zajišťují agendu SPOD i v případě, že jsou zařazeni v jiném organizačním útvaru (odboru, oddělení)."
19,D19.14.1,z toho počet zaměstnanců - pracovních úvazků na zajištění náhradní rodinné péče,"Úvazky stanovte k 31.12. sledovaného roku včetně poměrné části pracovních úvazků vedoucích a administrativní síly, které rozpočtěte vzhledem k počtu pracovníků na oddělení nebo odboru. Zpravidla půjde o desetinné číslo. Pokud pracovník vykonává i jinou agendu, započítává se pouze příslušným podílem a součet jeho úvazků v těchto agendách musí být roven jedné! Poměrná část úvazku zaměstnanců se týká vždy konkrétní agendy za kterou, jsou vstupní data vyplňována. Součet úvazků v agendách se tak nemusí rovnat počtu zaměstnanců odboru nebo oddělení pokud tato organizační jednotka zajišťuje další agendy nebo úkoly, které nejsou předmětem porovnávání. Započítejte také další zaměstnance pokud zajišťují agendu SPOD i v případě, že jsou zařazeni v jiném organizačním útvaru (odboru, oddělení)."
19,D19.14.2,z toho počet zaměstnanců - pracovních úvazků na zajištění agendy kurátora pro děti a mládež,"Úvazky stanovte k 31.12. sledovaného roku včetně poměrné části pracovních úvazků vedoucích a administrativní síly, které rozpočtěte vzhledem k počtu pracovníků na oddělení nebo odboru. Zpravidla půjde o desetinné číslo. Pokud pracovník vykonává i jinou agendu, započítává se pouze příslušným podílem a součet jeho úvazků v těchto agendách musí být roven jedné! Poměrná část úvazku zaměstnanců se týká vždy konkrétní agendy za kterou, jsou vstupní data vyplňována. Součet úvazků v agendách se tak nemusí rovnat počtu zaměstnanců odboru nebo oddělení pokud tato organizační jednotka zajišťuje další agendy nebo úkoly, které nejsou předmětem porovnávání. Započítejte také další zaměstnance pokud zajišťují agendu SPOD i v případě, že jsou zařazeni v jiném organizačním útvaru (odboru, oddělení)."
19,D19.14.3,Počet zaměstnanců - pracovních úvazků agendy SPOD (bez NRP a kurátora),Vzorec: D19.14-D19.14.1-D19.14.2
19,D19.15,Skutečné náklady na výkon OSPOD dle vyúčtování dotace MPSV v tis. Kč,"Náklady předkládané MPSV v rámci vyúčtování dotace (bez ohledu na to, zda budou uznány či nikoli). Za období sledovaného roku."
19,D19.16.1,ZVLÁŠTNÍ PŘÍJEMCE DÁVEK DŮCHODOVÉHO POJIŠTĚNÍ - počet správních rozhodnutí,Počet vydaných správních rozhodnutí za celé období sledovaného roku (vč. procesních rozhodnutí).
19,D19.16.2,ZVLÁŠTNÍ PŘÍJEMCE DÁVEK DŮCHODOVÉHO POJIŠTĚNÍ - počet evidovaných zvláštních příjemců dávek důchodového pojištění,Za celé období sledovaného roku.
19,D19.17.1,VEŘEJNÉ OPATROVNICTVÍ - počet opatrovanců,Počet opatrovanců za celé období sledovaného roku (všichni opatrovanci ve sledovaném roce bez ohledu na délku výkonu veřejného opatrovnictví) včetně opatrovanců dle § 58 občasnkého zákoníku.
19,D19.17.2,VEŘEJNÉ OPATROVNICTVÍ - z toho počet opatrovanců v pobytových zařízeních,"Za celé období sledovaného roku (zejména celoroční pobyt v tzv. ÚSTAVNÍCH zařízeních sociálních a zdravotnických služeb, minimálně po dobu 6 měsíců)."
19,D19.17.3,VEŘEJNÉ OPATROVNICTVÍ - počty návštěv,"Vykonané návštěvy u opatrovance + vykonané návštěvy nebo kontakty s opatrovancem v jiném prostředí + osobní návštěva u institucí ve prospěch opatrovance za celé období sledovaného roku včetně opatrovnictví dle § 58 občanského zákoníku (nepatří zde telefonické kontakty, e-maily apod. - pouze osobní návštěvy)."
19,D19.17.4,OPATROVNICTVÍ - počet sociálních šetření na dožádání ve věci opatrovnictví,"Např. na dožádání soudu, policie apod. za celé období sledovaného roku (!!netýká se vlastních opatrovanců!!)."
19,D19.17.5,VEŘEJNÉ OPATROVNICTVÍ - počet úvazků zaměstnanců,"Úvazky pro agendu stanovte k 31.12. sledovaného roku včetně poměrné části pracovních úvazků vedoucích a administrativní síly, které rozpočtěte vzhledem k počtu pracovníků na oddělení nebo odboru. Zpravidla půjde o desetinné číslo. Pokud pracovník vykonává i jinou agendu, započítává se pouze příslušným podílem a součet jeho úvazků v těchto agendách musí být roven jedné! Poměrná část úvazku zaměstnanců se týká vždy konkrétní agendy za kterou, jsou vstupní data vyplňována. Součet úvazků v agendách se tak nemusí rovnat počtu zaměstnanců odboru nebo oddělení pokud tato organizační jednotka zajišťuje další agendy nebo úkoly, které nejsou předmětem porovnávání. Započítejte také další zaměstnance pokud zajišťují agendu i v případě, že jsou zařazeni v jiném organizačním útvaru (odboru, oddělení)."
19,D19.18.1,SOCIÁLNÍ PRÁCE - OHROŽENÉ A VYLOUČENÉ OSOBY - počet spisů,"Počet ""živých"" spisů dle zákona č. 108/2006 Sb. a č. 111/2006 Sb. za celé období sledovaného roku. Započítejte spisy s nimiž se ve sledovaném roce pracovalo alespoň jednou. Zdroj dat: OK System."
19,D19.18.2,SOCIÁLNÍ PRÁCE - OHROŽENÉ A VYLOUČENÉ OSOBY - počet anonymních klientů,Za celé období sledovaného roku. Zdroj dat: OK System.
19,D19.18.3,SOCIÁLNÍ PRÁCE - OHROŽENÉ A VYLOUČENÉ OSOBY - počet sociálních šetření,Počet sociálních šetření v této oblasti za celé období sledovaného roku (zahrňte pouze šetření s písemným záznamem/výstupem).
19,D19.18.4,SOCIÁLNÍ PRÁCE - OHROŽENÉ A VYLOUČENÉ OSOBY - počet úvazků zaměstnanců,"Úvazky pro agendu stanovte k 31.12. sledovaného roku včetně poměrné části pracovních úvazků vedoucích a administrativní síly, které rozpočtěte vzhledem k počtu pracovníků na oddělení nebo odboru. Zpravidla půjde o desetinné číslo. Pokud pracovník vykonává i jinou agendu, započítává se pouze příslušným podílem a součet jeho úvazků v těchto agendách musí být roven jedné! Poměrná část úvazku zaměstnanců se týká vždy konkrétní agendy za kterou, jsou vstupní data vyplňována. Součet úvazků v agendách se tak nemusí rovnat počtu zaměstnanců odboru nebo oddělení pokud tato organizační jednotka zajišťuje další agendy nebo úkoly, které nejsou předmětem porovnávání. Započítejte také další zaměstnance pokud zajišťují agendu i v případě, že jsou zařazeni v jiném organizačním útvaru (odboru, oddělení)."
19,D19.19.1,SOCIÁLNÍ KURATELA - OSOBY VE VÝKONU VAZBY A TRESTU ODNĚTÍ SVOBODY - počet návštěv ve věznicích,Za celé období sledovaného roku (jedna osoba = jedna návštěva tzn. Při jedné cestě do věznice navštívíme 3 klienty = započítáme 3 návštěvy).
19,D19.19.2,SOCIÁLNÍ KURATELA - OSOBY VE VÝKONU VAZBY A TRESTU ODNĚTÍ SVOBODY - počet úvazků zaměstnanců,"Úvazky pro agendu stanovte k 31.12. sledovaného roku včetně poměrné části pracovních úvazků vedoucích a administrativní síly, které rozpočtěte vzhledem k počtu pracovníků na oddělení nebo odboru. Zpravidla půjde o desetinné číslo. Pokud pracovník vykonává i jinou agendu, započítává se pouze příslušným podílem a součet jeho úvazků v těchto agendách musí být roven jedné! Poměrná část úvazku zaměstnanců se týká vždy konkrétní agendy za kterou, jsou vstupní data vyplňována. Součet úvazků v agendách se tak nemusí rovnat počtu zaměstnanců odboru nebo oddělení pokud tato organizační jednotka zajišťuje další agendy nebo úkoly, které nejsou předmětem porovnávání. Započítejte také další zaměstnance pokud zajišťují agendu i v případě, že jsou zařazeni v jiném organizačním útvaru (odboru, oddělení)."
19,D19.19.3,SOCIÁLNÍ KURATELA - počet vypracovaných IPMD,Počet vypracovaných individuálních plánů mladých dospělých za celé období sledovaného roku.
19,D19.20,VÝMĚNA A VÝDEJ PARKOVACÍCH PRŮKAZŮ,Počet ks za celé období sledovaného roku.
19,D19.21,POČET UZAVŘENÝCH (PODEPSANÝCH) SMLUV A DODATKŮ DLE § 91 odst. 6 zák. č. 108/2006 Sb.,Počet ks za celé období sledovaného roku.
19,D19.22,POČET SOCIÁLNÍCH POHŘBŮ,Počet sociálních pohřbů za celé období sledovaného roku.
19,D19.23,Počet ostatních zaměstnanců - pracovních úvazků odboru sociálních věcí,Ostatní zaměstnanci mimo agendy vyplňované výše. Úvazky stanovte k 31.12. sledovaného roku včetně pracovních úvazků vedoucích a administrativní síly.
19,D19.24,Počet zaměstnanců - pracovních úvazků odboru sociálních věcí celkem,"Kontrolní součet polí Počet zaměstnanců - pracovních úvazků agendy SPOD + VEŘEJNÉ OPATROVNICTVÍ - počet úvazků zaměstnanců + SOCIÁLNÍ PRÁCE - OHROŽENÉ A VYLOUČENÉ OSOBY - počet úvazků zaměstnanců + SOCIÁLNÍ KURATELA - OSOBY VE VÝKONU VAZBY A TRESTU ODNĚTÍ SVOBODY - počet úvazků zaměstnanců + Počet ostatních zaměstnanců - pracovních úvazků odboru sociálních věcí.
Vzorec: D19.14+D19.17.5+D19.18.4+D19.19.2+D19.23"
20,D20.1,Počet pravomocně vydaných rozhodnutí celkem,"Jedná se o počet vydaných rozhodnutí bez ohledu na počet výroků MIMO Souhlas vodoprávního úřadu (§ 17 vodního zákona) a usnesení. Započítávají se i rozhodnutí podle zákona o vodovodech a kanalizacích (kanalizační řády, havarijní plány a manipulační řády). Včetně rozhodnutí dle zákona č. 164/2001Sb., o přírodních zdrojích."
20,D20.2.1,"Celkový počet přestupků řešených rozhodnutím, příkazem, příkazem na místě nebo blokovou pokutou",Za celé období sledovaného roku.
20,D20.2.2,"Vyplňte 1 pokud přestupky řešíte sami na odboru, 0 pokud je předáváte k řešení na specializované pracoviště, odbor, oddělení nebo 2 (kombinace, jiné)",
20,D20.3,Počet povolení nakládání s vodami,Jedná se o všechna povolená nakládání (i dílčí výroky). Za celé období sledovaného roku.
20,D20.4,Počet vydaných opatření obecné povahy,Viz Vyhláška o vodoprávní evidenci platná ve sledovaném období. Za celé období sledovaného roku.
20,D20.5,Počet vydaných souhlasů dle §17 MIMO JES,Viz Vyhláška o vodoprávní evidenci platná ve sledovaném období (souhlas vodoprávního úřadu dle § 17 vodního zákona). Za celé období sledovaného roku. NEZAPOČÍTÁVÁME ZDE SOUHLASY VYDANÁ V RÁMCI SOUHRNNÝCH NEBO KOORDINOVANÝCH ZÁVAZNÝCH STANOVISEK!!!
20,D20.6,Počet řešených havarijních situací,Za celé období sledovaného roku.
20,D20.7,Počet provedených kontrol (dozorů) se zápisem,"Zápisem se rozumí jakýkoli záznam o provedené kontrole (mimo správní řízení). Za celé období sledovaného roku. Jedná se o: Vodoprávní dozor podle § 110 zákona č.254/2001 Sb., vodní zákon a dozor podle § 37 zákona č.274/2001 Sb., o vodovodech a kanalizacích."
20,D20.8,Počet zaměstnanců - pracovních úvazků v agendě vodoprávní řízení celkem,"VYPLŇTE POUZE ÚVAZKY VZTAHUJÍCÍ SE K ROZHODNUTÍM DLE DATOVÉHO POLE D20.1, NEPATŘÍ ZDE ÚVAZKY ZAJIŠŤUJÍCÍ AGENDU STAVEBNÍCH ŘÍZENÍ. Úvazky pro agendu celkem stanovte za celé období sledovaného roku včetně poměrné části pracovních úvazků vedoucích a administrativní síly, které rozpočtěte vzhledem k počtu pracovníků na oddělení nebo odboru. Zpravidla půjde o desetinné číslo. Pokud pracovník vykonává i jinou agendu, započítává se pouze příslušným podílem a součet jeho úvazků v těchto agendách musí být roven jedné! Poměrná část úvazku zaměstnanců se týká vždy konkrétní agendy za kterou, jsou vstupní data vyplňována. Součet úvazků v agendách se tak nemusí rovnat počtu zaměstnanců odboru nebo oddělení pokud tato organizační jednotka zajišťuje další agendy nebo úkoly, které nejsou předmětem porovnávání."
21,D21.1,Počet vydaných správních rozhodnutí,Pouze meritorní rozhodnutí a zastavení řízení. Za celé období sledovaného roku.
