code,name,agenda,kind,unit
D3.12,Počet zápisů v knize úmrtí - počet úmrtí,3,dkod,
D3.13,Počet vyhotovených duplikátů matričních dokladů,3,dkod,
D3.14,Počet změn v matričních zápisech celkem,3,dkod,
D3.15,"Počet konzultací a přezkoušení dle Zákona č. 21/2006 Sb., o ověřování",3,dkod,
D3.16,Vidimace a legalizace - počet případů,3,dkod,
D3.17,Počet prominutí předložení stanoveného dokladu,3,dkod,
D3.18,Počet zápisů o určení otcovství před i po narození dítěte,3,dkod,
D3.19,Počet tranzicí,3,dkod,
D3.20,Počet úředních hodin v týdnu,3,dkod,
D3.21,Průměrná čekací doba (v minutách),3,dkod,
D4.1,Počet zaměstnanců - pracovních úvazků v agendě občanské průkazy celkem,4,dkod,
D4.2,Počet žádostí o vydání OP,4,dkod,
D4.2.1,z toho počet žádostí off line (žádosti nabrané v terénu - imobilní občané),4,dkod,
D4.4,Počet všech vydaných OP,4,dkod,
D4.5,Počet VŠECH řešených přestupků DLE ZÁKONA 269/2021 Sb.,4,dkod,
D4.6,z toho počet přestupků vyřízených v PŘÍKAZNÍM řízení na místě DLE ZÁKONA 269/2021 Sb.,4,dkod,
D4.6.1,Objem uložených pokut v tis. Kč,4,dkod,
D4.7,Průměrná čekací doba (v minutách),4,dkod,
D4.8,Počet úředních hodin v týdnu,4,dkod,
D4.9,Příjmy ze správních poplatků v tis. Kč,4,dkod,
D5.1,Počet žádostí celkem,5,dkod,
D5.2,Počet vydaných pasů,5,dkod,
D5.3,Počet VŠECH řešených přestupků DLE ZÁKONA 329/1999 Sb.,5,dkod,
D5.3.1,z toho počet přestupků vyřízených v PŘÍKAZNÍM řízení na místě DLE ZÁKONA 329/1999 Sb.,5,dkod,
D5.4,Objem uložených pokut v tis. Kč,5,dkod,
D5.5,Průměrná čekací doba (v minutách),5,dkod,
D5.6,Počet zaměstnanců - pracovních úvazků v agendě cestovní doklady celkem,5,dkod,
D5.7,Počet úředních hodin v týdnu,5,dkod,
D5.8,Příjmy ze správních poplatků v tis. Kč,5,dkod,
D6.1,Fyzický počet zaměstnanců obce zařazených v obecním úřadě,6,dkod,
D6.1.1,Počet žen,6,dkod,
D6.1.2,Počet mužů,6,dkod,
D6.1.3.1,Počet zaměstnanců ve věku do 30 let,6,dkod,
D6.1.3.2,Počet zaměstnanců ve věku 31 - 50 let,6,dkod,
D6.1.3.3,Počet zaměstnanců ve věku 51-60 let,6,dkod,
D6.1.3.4,Počet zaměstnanců ve věku 61 let a výše,6,dkod,
D6.1.3.5,Fyzický počet zaměstnanců s nárokem na starobní důchod,6,dkod,
D6.1.9,Počet zaměstnanců se základním vzděláním,6,dkod,
D6.1.10,Počet zaměstnanců se středním odborným vzděláním (bez maturitní zkoušky),6,dkod,
D6.1.11,Počet zaměstnanců s úplným středním odborným vzděláním (s maturitní zkouškou),6,dkod,
D6.1.12,Počet zaměstnanců s vyšším odborným vzděláním,6,dkod,
D6.1.13,Počet zaměstnanců s vysokoškolským vzděláním,6,dkod,
D6.2.1,Počet úředníků (bez vedoucích úředníků),6,dkod,
D6.2.2,Počet vedoucích úředníků,6,dkod,
D6.2.2.1,Počet vedoucích úředníků - žen,6,dkod,
D6.2.2.2,Počet vedoucích úředníků - mužů,6,dkod,
D6.2.2.2.1,Počet vedoucích úředníků ve věku do 30 let,6,dkod,
D6.2.2.2.2,Počet vedoucích úředníků ve věku 31 - 50 let,6,dkod,
D6.2.2.2.3,Počet vedoucích úředníků ve věku 51-60 let,6,dkod,
D6.2.2.2.4,Počet vedoucích úředníků ve věku 61 let a výše,6,dkod,
D6.2.2.12,Počet vedoucích úředníků s vyšším odborným vzděláním,6,dkod,
D6.2.2.13,Počet vedoucích úředníků s vysokoškolským vzděláním,6,dkod,
D6.2.3,Počet ostatních zaměstnanců (neúředníků zařazených do úřadu),6,dkod,
D6.3,Náklady na vzdělávání celkem (včetně ZOZ) v tis. Kč,6,dkod,
D6.4,Počet absolventů vzdělávacích akcí,6,dkod,
D6.4.1,Z toho počet absolventů vzdělávacích akcí E-LEARNING,6,dkod,
D6.4.3,Z toho počet absolventů on-line kurzů,6,dkod,
D7.1,Počet sledovaných úkonů celkem,7,dkod,
D7.1.1,Počet všech vydaných řidičských průkazů (včetně mezinárodních),7,dkod,
D7.1.2,Počet všech rozhodnutí vydaných ve správních řízeních na úseku registru řidičů,7,dkod,
D7.10,Příjem správních poplatků v tis. Kč,7,dkod,
D7.11,Počet řidičů (stav evidence řidičů),7,dkod,
D7.12,Počet zaměstnanců - pracovních úvazků v agendě registr řidičů celkem,7,dkod,
D7.13,Průměrná čekací doba (v minutách),7,dkod,
D8.1,Počet provedených úkonů celkem (údaj z RSV),8,dkod,
D8.2,Příjem správních poplatků v tis. Kč,8,dkod,
D8.3,Počet lustrací (výdej dat z registru),8,dkod,
D8.4,Počet všech vydaných správních rozhodnutí na úseku registru vozidel,8,dkod,
D8.7,Počet vozidel v registru,8,dkod,
D8.8,Počet zaměstnanců - pracovních úvazků v agendě registr vozidel celkem,8,dkod,
D8.10,Průměrná čekací doba (v minutách),8,dkod,
D9.1,Počet zkoušek včetně zkoušek opakovaných,9,dkod,
D9.2,Procento úspěšných žadatelů o řidičské oprávnění při 1. zkoušce,9,dkod,
D9.3,Počet autoškol ve správním obvodu,9,dkod,
D9.7,Příjem poplatků v tis. Kč,9,dkod,
D9.8,Počet zaměstnanců (zkušebních komisařů) - pracovních úvazků v této agendě celkem,9,dkod,
D10.1.1,Počet oznámených skutkových podstat dle zákona 361/2000 Sb. (Zákon o provozu na pozemních komunikacích),10,dkod,
D10.1.1.1,"z toho počet VŠECH oznámených skutkových podstat dle §125f, odst. 2, písm. a) zákona 361/2000 Sb.",10,dkod,
D10.1.1.1.1,Je provozován automatizovaný systém měření rychlosti a generuje výzvy?,10,dkod,
D10.1.1.1.2,Je provozován automatizovaný systém parkování a generuje výzvy?,10,dkod,
D10.1.1.1.3,Je provozován systém detekce jízdy na červenou a generuje výzvy?,10,dkod,
D10.1.2,Počet přestupků vyřízených příkazem na místě dle zákona 361/2000 Sb.,10,dkod,
D10.1.3,Počet přestupků vyřízených příkazem dle zákona 361/2000 Sb.,10,dkod,
D10.1.4,Počet přestupků vyřízených rozhodnutím dle zákona 361/2000 Sb.,10,dkod,
D10.1.5,"Počet odložených přestupků dle zákona 361/2000 Sb. (mimo §125h, odst. 5 zákona 361/2000 Sb. (D1.1.4))",10,dkod,
D10.2.1,Počet oznámených skutkových podstat dle zákona 168/1999 Sb. a dle zákona č. 30/2024 Sb.,10,dkod,
D10.2.2,Počet přestupků vyřízených příkazem na místě dle zákona 168/1999 Sb. a dle zákona č. 30/2024 Sb.,10,dkod,
D10.2.3,Počet přestupků vyřízených příkazem dle zákona 168/1999 Sb. a dle zákona č. 30/2024 Sb.,10,dkod,
D10.2.4,Počet přestupků vyřízených rozhodnutím dle zákona 168/1999 Sb. a dle zákona č. 30/2024 Sb.,10,dkod,
D10.2.5,Počet odložených přestupků dle zákona 168/1999 Sb. a dle zákona č. 30/2024 Sb.,10,dkod,
D10.3.1,Počet oznámených skutkových podstat dle zákona 56/2001 Sb. (Zákon o podmínkách provozu vozidel na pozemních komunikacích),10,dkod,
D10.3.2,Počet přestupků vyřízených příkazem na místě dle zákona 56/2001 Sb.,10,dkod,
